h;E(h)
0.5;0.0403287
0.4375;0.0309674
0.382812;0.0237626
0.334961;0.0182246
0.293091;0.0139716
0.256454;0.0107078
0.224398;0.00820446
0.196348;0.00628525
0.171804;0.00481427
0.150329;0.0036872
0.131538;0.00282383
0.115096;0.00216234
0.100709;0.00165582
0.0881201;0.00126791
0.077105;0.0009709
0.0674669;0.000743449
0.0590336;0.000568926
0.0516544;0.000435829
0.0451976;0.000333607
0.0395479;0.000255287
0.0346044;0.000195444
0.0302788;0.000149906
0.026494;0.000114679
0.0231822;8.83341e-05
0.0202845;6.72936e-05
0.0177489;5.20945e-05
0.0155303;3.96371e-05
0.013589;3.03984e-05
0.0118904;2.3365e-05
0.0104041;1.74642e-05
0.00910357;1.33514e-05
0.00796562;1.055e-05
0.00696992;8.82149e-06
0.00609868;6.55651e-06
0.00533634;5.66244e-06
0.0046693;4.29153e-06
0.00408564;5.96046e-07
0.00357493;2.20537e-06
0.00312807;2.80142e-06
0.00273706;1.19209e-07
0.00239493;5.36442e-07
0.00209556;3.8743e-06
0.00183362;1.78814e-07
0.00160441;1.37091e-06
0.00140386;3.93391e-06
0.00122838;5.1856e-06
0.00107483;7.80821e-06
0.000940478;1.29938e-05
0.000822918;5.06639e-06
0.000720053;5.24521e-06
0.000630047;2.26498e-06
0.000551291;1.23978e-05
0.00048238;1.04308e-05
0.000422082;1.16825e-05
0.000369322;1.10269e-05
0.000323157;5.24521e-06
0.000282762;2.16961e-05
0.000247417;6.61612e-06
0.00021649;5.35846e-05
0.000189429;5.36442e-06
0.00016575;5.09024e-05
0.000145031;1.32918e-05
0.000126902;6.00219e-05
0.00011104;4.05908e-05
9.71596e-05;4.57168e-05
8.50146e-05;1.84774e-06
7.43878e-05;1.44243e-05
6.50893e-05;5.96046e-08
5.69532e-05;9.81688e-05
4.9834e-05;4.21405e-05
4.36048e-05;0.000148892
3.81542e-05;0.00017333
3.33849e-05;0.00011754
2.92118e-05;0.000149429
2.55603e-05;0.000367999
2.23653e-05;6.73532e-06
1.95696e-05;0.000469148
1.71234e-05;0.000197172
1.4983e-05;0.000445783
1.31101e-05;0.000264645
1.14713e-05;2.10404e-05
1.00374e-05;0.000485003
8.78275e-06;0.000257254
7.68491e-06;0.000106275
6.72429e-06;0.000586212
5.88376e-06;4.69685e-05
5.14829e-06;0.00176197
4.50475e-06;0.000935078
3.94166e-06;0.000955105
3.44895e-06;0.00147516
3.01783e-06;0.00253671
2.6406e-06;0.000990272
2.31053e-06;0.000218987
2.02171e-06;0.00390428
1.769e-06;0.00127196
1.54787e-06;0.00187361
1.35439e-06;0.00462419
1.18509e-06;0.00698179
1.03695e-06;0.00428736
9.07335e-07;0.00289768
7.93918e-07;0.00407076
6.94678e-07;0.0066545
6.07843e-07;0.0127832
5.31863e-07;0.0145342
4.6538e-07;0.00347662
4.07207e-07;0.0103379
3.56307e-07;0.0027312
3.11768e-07;0.000256002
2.72797e-07;0.0241538
2.38698e-07;0.0124487
2.0886e-07;0.0169078
1.82753e-07;0.0423882
1.59909e-07;0.00161952
1.3992e-07;0.0748366
1.2243e-07;0.00637388
1.07126e-07;0.00637388
9.37355e-08;0.0262452
8.20186e-08;0.110015
7.17663e-08;0.0581062
6.27955e-08;0.0308799
5.49461e-08;0.104718
4.80778e-08;0.0502511
4.20681e-08;0.0825797
3.68096e-08;0.170431
3.22084e-08;0.0547692
2.81823e-08;0.0774162
2.46595e-08;0.228485
2.15771e-08;0.289466
1.888e-08;0.190808
1.652e-08;0.0780571
1.4455e-08;0.0508015
1.26481e-08;0.198068
1.10671e-08;0.366373
9.6837e-09;0.558722
8.47324e-09;0.778549
7.41408e-09;0.980067
6.48732e-09;0.980067
5.67641e-09;0.980067
4.96686e-09;0.980067
4.346e-09;0.980067
3.80275e-09;0.980067
3.3274e-09;0.980067
2.91148e-09;0.980067
2.54754e-09;0.980067
2.2291e-09;0.980067
1.95046e-09;0.980067
1.70666e-09;0.980067
1.49332e-09;0.980067
1.30666e-09;0.980067
1.14333e-09;0.980067
1.00041e-09;0.980067
8.75359e-10;0.980067
7.65939e-10;0.980067
6.70197e-10;0.980067
5.86422e-10;0.980067
5.13119e-10;0.980067
4.48979e-10;0.980067
3.92857e-10;0.980067
3.4375e-10;0.980067
3.00781e-10;0.980067
2.63184e-10;0.980067
2.30286e-10;0.980067
2.015e-10;0.980067
1.76312e-10;0.980067
1.54273e-10;0.980067
1.34989e-10;0.980067
1.18116e-10;0.980067
1.03351e-10;0.980067
9.04322e-11;0.980067
7.91282e-11;0.980067
6.92371e-11;0.980067
6.05825e-11;0.980067
5.30097e-11;0.980067
4.63835e-11;0.980067
4.05855e-11;0.980067
3.55124e-11;0.980067
3.10733e-11;0.980067
2.71891e-11;0.980067
2.37905e-11;0.980067
2.08167e-11;0.980067
1.82146e-11;0.980067
1.59378e-11;0.980067
1.39456e-11;0.980067
1.22024e-11;0.980067
1.06771e-11;0.980067
9.34243e-12;0.980067
8.17463e-12;0.980067
7.1528e-12;0.980067
6.2587e-12;0.980067
5.47636e-12;0.980067
4.79182e-12;0.980067
4.19284e-12;0.980067
3.66874e-12;0.980067
3.21014e-12;0.980067
2.80888e-12;0.980067
2.45777e-12;0.980067
2.15055e-12;0.980067
1.88173e-12;0.980067
1.64651e-12;0.980067
1.4407e-12;0.980067
1.26061e-12;0.980067
1.10303e-12;0.980067
9.65155e-13;0.980067
8.4451e-13;0.980067
7.38947e-13;0.980067
6.46578e-13;0.980067
5.65756e-13;0.980067
4.95036e-13;0.980067
4.33157e-13;0.980067
3.79012e-13;0.980067
3.31636e-13;0.980067
2.90181e-13;0.980067
2.53909e-13;0.980067
2.2217e-13;0.980067
1.94399e-13;0.980067
1.70099e-13;0.980067
1.48837e-13;0.980067
1.30232e-13;0.980067
1.13953e-13;0.980067
9.97088e-14;0.980067
8.72452e-14;0.980067
7.63396e-14;0.980067
6.67971e-14;0.980067
5.84475e-14;0.980067
5.11416e-14;0.980067
4.47489e-14;0.980067
3.91552e-14;0.980067
3.42608e-14;0.980067
2.99782e-14;0.980067
2.6231e-14;0.980067
2.29521e-14;0.980067
2.00831e-14;0.980067
1.75727e-14;0.980067
1.53761e-14;0.980067
1.34541e-14;0.980067
1.17723e-14;0.980067
1.03008e-14;0.980067
9.01319e-15;0.980067
7.88654e-15;0.980067
6.90072e-15;0.980067
6.03813e-15;0.980067
5.28337e-15;0.980067
4.62295e-15;0.980067
4.04508e-15;0.980067
3.53944e-15;0.980067
3.09701e-15;0.980067
2.70989e-15;0.980067
2.37115e-15;0.980067
2.07476e-15;0.980067
1.81541e-15;0.980067
1.58849e-15;0.980067
1.38993e-15;0.980067
1.21618e-15;0.980067
1.06416e-15;0.980067
9.31141e-16;0.980067
8.14749e-16;0.980067
7.12905e-16;0.980067
6.23792e-16;0.980067
5.45818e-16;0.980067
4.77591e-16;0.980067
4.17892e-16;0.980067
3.65655e-16;0.980067
3.19948e-16;0.980067
2.79955e-16;0.980067
2.4496e-16;0.980067
2.1434e-16;0.980067
1.87548e-16;0.980067
1.64104e-16;0.980067
1.43591e-16;0.980067
1.25642e-16;0.980067
1.09937e-16;0.980067
9.6195e-17;0.980067
8.41706e-17;0.980067
7.36493e-17;0.980067
6.44431e-17;0.980067
5.63877e-17;0.980067
4.93393e-17;0.980067
4.31719e-17;0.980067
3.77754e-17;0.980067
3.30535e-17;0.980067
2.89218e-17;0.980067
2.53066e-17;0.980067
2.21432e-17;0.980067
1.93753e-17;0.980067
1.69534e-17;0.980067
1.48342e-17;0.980067
1.298e-17;0.980067
1.13575e-17;0.980067
9.93778e-18;0.980067
8.69556e-18;0.980067
7.60861e-18;0.980067
6.65754e-18;0.980067
5.82534e-18;0.980067
5.09718e-18;0.980067
4.46003e-18;0.980067
3.90253e-18;0.980067
3.41471e-18;0.980067
2.98787e-18;0.980067
2.61439e-18;0.980067
2.28759e-18;0.980067
2.00164e-18;0.980067
1.75144e-18;0.980067
1.53251e-18;0.980067
1.34094e-18;0.980067
1.17332e-18;0.980067
1.02666e-18;0.980067
8.98327e-19;0.980067
7.86036e-19;0.980067
6.87781e-19;0.980067
6.01809e-19;0.980067
5.26583e-19;0.980067
4.6076e-19;0.980067
4.03165e-19;0.980067
3.52769e-19;0.980067
3.08673e-19;0.980067
2.70089e-19;0.980067
2.36328e-19;0.980067
2.06787e-19;0.980067
1.80938e-19;0.980067
1.58321e-19;0.980067
1.38531e-19;0.980067
1.21215e-19;0.980067
1.06063e-19;0.980067
